 Epoch [1/100] | D Loss: 0.2851 | G Total Loss: 2.9900 | Data Loss: 0.3925

Epoch [2/100] | D Loss: 0.2685 | G Total Loss: 4.7921 | Data Loss: 0.3284

Epoch [3/100] | D Loss: 0.4794 | G Total Loss: 2.4239 | Data Loss: 0.2759

Epoch [4/100] | D Loss: 0.2266 | G Total Loss: 4.6330 | Data Loss: 0.2935

Epoch [5/100] | D Loss: 0.2426 | G Total Loss: 3.3044 | Data Loss: 0.2057

Epoch [6/100] | D Loss: 0.2254 | G Total Loss: 4.8284 | Data Loss: 0.2759

Epoch [7/100] | D Loss: 0.7194 | G Total Loss: 1.0517 | Data Loss: 0.1958

Epoch [8/100] | D Loss: 0.1707 | G Total Loss: 5.0126 | Data Loss: 0.2077

Epoch [9/100] | D Loss: 0.3381 | G Total Loss: 5.0763 | Data Loss: 0.2727

Epoch [10/100] | D Loss: 0.3154 | G Total Loss: 5.5425 | Data Loss: 0.2575

Epoch [11/100] | D Loss: 0.3307 | G Total Loss: 2.4332 | Data Loss: 0.2368

Epoch [12/100] | D Loss: 0.1885 | G Total Loss: 7.0950 | Data Loss: 0.2323

Epoch [13/100] | D Loss: 0.2101 | G Total Loss: 7.2730 | Data Loss: 0.2759

Epoch [14/100] | D Loss: 0.1744 | G Total Loss: 7.8661 | Data Loss: 0.2332

Epoch [15/100] | D Loss: 0.2175 | G Total Loss: 4.7722 | Data Loss: 0.2145

Epoch [16/100] | D Loss: 0.3611 | G Total Loss: 4.4827 | Data Loss: 0.1709

Epoch [17/100] | D Loss: 0.1718 | G Total Loss: 6.0884 | Data Loss: 0.1855

Epoch [18/100] | D Loss: 0.1646 | G Total Loss: 11.1059 | Data Loss: 0.3251

Epoch [19/100] | D Loss: 0.2476 | G Total Loss: 3.7576 | Data Loss: 0.2166

Epoch [20/100] | D Loss: 0.1861 | G Total Loss: 7.9445 | Data Loss: 0.2070

Epoch [21/100] | D Loss: 0.1704 | G Total Loss: 8.4447 | Data Loss: 0.1996

Epoch [22/100] | D Loss: 0.3109 | G Total Loss: 2.8653 | Data Loss: 0.2010

Epoch [23/100] | D Loss: 0.1702 | G Total Loss: 10.1004 | Data Loss: 0.1913

Epoch [24/100] | D Loss: 0.8760 | G Total Loss: 1.9136 | Data Loss: 0.2217

Epoch [25/100] | D Loss: 0.1741 | G Total Loss: 5.8831 | Data Loss: 0.1964

Epoch [26/100] | D Loss: 0.2313 | G Total Loss: 3.6437 | Data Loss: 0.2189

Epoch [27/100] | D Loss: 0.1812 | G Total Loss: 7.6475 | Data Loss: 0.2164

Epoch [28/100] | D Loss: 0.1820 | G Total Loss: 4.8401 | Data Loss: 0.1991

Epoch [29/100] | D Loss: 0.2800 | G Total Loss: 4.1326 | Data Loss: 0.1834

Epoch [30/100] | D Loss: 0.1692 | G Total Loss: 10.4712 | Data Loss: 0.1999

Epoch [31/100] | D Loss: 0.1764 | G Total Loss: 5.7841 | Data Loss: 0.1944

Epoch [32/100] | D Loss: 0.1680 | G Total Loss: 8.9017 | Data Loss: 0.2096

Epoch [33/100] | D Loss: 0.1831 | G Total Loss: 4.0698 | Data Loss: 0.1747

Epoch [34/100] | D Loss: 0.2215 | G Total Loss: 5.5715 | Data Loss: 0.1799

Epoch [35/100] | D Loss: 0.1683 | G Total Loss: 5.7635 | Data Loss: 0.1945

Epoch [36/100] | D Loss: 0.4749 | G Total Loss: 1.0276 | Data Loss: 0.2098

Epoch [37/100] | D Loss: 0.5413 | G Total Loss: 1.5114 | Data Loss: 0.1836

Epoch [38/100] | D Loss: 0.1648 | G Total Loss: 8.1293 | Data Loss: 0.2102

Epoch [39/100] | D Loss: 0.1717 | G Total Loss: 7.6272 | Data Loss: 0.3198

Epoch [40/100] | D Loss: 0.1672 | G Total Loss: 6.6688 | Data Loss: 0.2697

Epoch [41/100] | D Loss: 0.1693 | G Total Loss: 6.1325 | Data Loss: 0.2748

Epoch [42/100] | D Loss: 0.1697 | G Total Loss: 5.8523 | Data Loss: 0.2263

Epoch [43/100] | D Loss: 0.1715 | G Total Loss: 5.4693 | Data Loss: 0.2736

Epoch [44/100] | D Loss: 0.2579 | G Total Loss: 2.5163 | Data Loss: 0.2135

Epoch [45/100] | D Loss: 0.1687 | G Total Loss: 6.0115 | Data Loss: 0.2538

Epoch [46/100] | D Loss: 0.2071 | G Total Loss: 4.1062 | Data Loss: 0.1987

Epoch [47/100] | D Loss: 0.1761 | G Total Loss: 5.6013 | Data Loss: 0.2148

Epoch [48/100] | D Loss: 0.2184 | G Total Loss: 4.7057 | Data Loss: 0.2147

Epoch [49/100] | D Loss: 0.2382 | G Total Loss: 5.0531 | Data Loss: 0.2419

Epoch [50/100] | D Loss: 0.2326 | G Total Loss: 3.8027 | Data Loss: 0.1839

Epoch [51/100] | D Loss: 0.1780 | G Total Loss: 5.3727 | Data Loss: 0.2649

Epoch [52/100] | D Loss: 0.1675 | G Total Loss: 7.6175 | Data Loss: 0.2559

Epoch [53/100] | D Loss: 0.1966 | G Total Loss: 3.9138 | Data Loss: 0.2178

Epoch [54/100] | D Loss: 0.2139 | G Total Loss: 6.2702 | Data Loss: 0.2955

Epoch [55/100] | D Loss: 0.3004 | G Total Loss: 1.8294 | Data Loss: 0.2426

